,Description,URL,GameName
27,"A thrilling new storyline, hordes of creepy enemies, serious firepower and beautiful Arizona locations, combined with a fun and challenging new game mode!",https://store.steampowered.com/app/202750/Alan_Wakes_American_Nightmare/,Alan Wake's American Nightmare
28,"Alice: Madness Returns is a third-person, single-player, action adventure platformer. Visit the grim reality of Victorian London and travel to the beautiful yet ghastly Wonderland to uncover the root of Alice's madness.",https://store.steampowered.com/app/19680/Alice_Madness_Returns/,Alice: Madness Returns
29,Co-operative multiplayer game and complete code base available for free.,https://store.steampowered.com/app/630/Alien_Swarm/,Alien Swarm
30,"Discover the true meaning of fear in Alien: Isolation, a survival horror set in an atmosphere of constant dread and mortal danger.",https://store.steampowered.com/app/214490/Alien_Isolation/,Alien: Isolation
31,"Aliens Versus Predator Classic 2000 features the Colonial Marine, Alien and Predator Campaigns and the frenetic single-player Skirmish mode from the original title: Alien Versus Predator Gold Edition, which was released to massive acclaim in 2000.",https://store.steampowered.com/app/3730/Aliens_versus_Predator_Classic_2000/,Aliens versus Predator Classic 2000
32,"Survive, hunt and prey in the deadly jungles and swamps in distinctly new and thrilling first person gameplay.",https://store.steampowered.com/app/10680/Aliens_vs_Predator/,Aliens vs. Predator
33,"You & your friends are the deadliest killers in the galaxy – the US Colonial Marines. It’s up to you to not just survive, but wipe out the Xeno infestation.",https://store.steampowered.com/app/49540/Aliens_Colonial_Marines_Collection/,Aliens: Colonial Marines
34,"Somewhere in deep space, at an apparently abandoned mining base on the asteriod Alpha Prime, something has gone terribly wrong. Miners were warned that the hubbardium they were mining was too dangerous, but the lure of unimaginable wealth was too strong.",https://store.steampowered.com/app/2590/Alpha_Prime/,Alpha Prime
35,"USC is a turn-based, top-down view tactics game in which you control the crew of a stranded recon vessel in a ""first contact war"" for survival, featuring a detailed combat system with RPG elements, fully interactive randomized maps, unique weapons and gadgets, crafting, and custom multiplayer modes.",https://store.steampowered.com/app/341910/Ultimate_Space_Commando/,Alpha Protocol
36,"Now Available on PC, Mac and Linux!",https://store.steampowered.com/app/41300/Altitude/,Altitude
37,Set out on a cross-country journey to win back the love of your life and endure the hardship of making story-defining choices that affect your life and the lives of those around you.,https://store.steampowered.com/app/274310/Always_Sometimes_Monsters/,Always Sometimes Monsters
38,,https://store.steampowered.com/app/1358710/Battle_Cry_of_Freedom/,America's Army 3
39,America’s Army: Proving Grounds is the official game of the U.S. Army and part of the highly acclaimed America’s Army game series. This free military game focuses on small unit tactical maneuvers and puts you to the test in a wide variety of new America’s Army maps and AA fan favorites.,https://store.steampowered.com/app/203290/Americas_Army_Proving_Grounds/,America's Army: Proving Grounds
40,,https://store.steampowered.com/app/270880/American_Truck_Simulator/,American Truck Simulator
41,"From the creators of Amnesia: The Dark Descent and Dear Esther comes a new first-person horrorgame that will drag you to the depths of greed, power and madness. It will bury its snout into your ribs and it will eat your heart.",https://store.steampowered.com/app/239200/Amnesia_A_Machine_for_Pigs/,Amnesia: A Machine for Pigs
42,"Amnesia: The Dark Descent, a first person survival horror. A game about immersion, discovery and living through a nightmare. An experience that will chill you to the core.",https://store.steampowered.com/app/57300/Amnesia_The_Dark_Descent/,Amnesia: The Dark Descent
43,"You awaken to find your memories gone. To learn the truth behind your amnesia, you’ll choose from five romantic paths, each its own world. With 20+ endings, can you write the lasting love story you deserve, or will your love and life come to an end?",https://store.steampowered.com/app/359390/Amnesia_Memories/,Amnesia™: Memories
44,Control a pond's ecosystem; experiment with what you can do and see what happens. Among Ripples is a meditative ecosystem management simulator; you add different creatures to the pond and see how they interact.,https://store.steampowered.com/app/341720/Among_Ripples/,Among Ripples
45,Among the Sleep: Enhanced Edition is a new and improved version of the award winning first person horror adventure. In the game you play as a small child trapped in a weird nightmare where you go looking for your mom.,https://store.steampowered.com/app/250620/Among_the_Sleep__Enhanced_Edition/,Among the Sleep
46,"The surgeon-simulator inspired Tea-making game is now available on Steam! Using the latest KS-001 Robo-Arm, you must practise making various types of tea.",https://store.steampowered.com/app/289090/AmpuTea/,Ampu-Tea
47,"A dark visual mystery novel featuring transhumanism, traditional marriage, loneliness, and cosplay. Two pursuable characters. Five endings. Welcome to the future.",https://store.steampowered.com/app/209370/Analogue_A_Hate_Story/,Analogue: A Hate Story
48,"And Yet It Moves is a puzzle-platformer, set in a unique world, made of ripped paper. Within the paper-collage you can jump, run and last but certainly not least: rotate the world. Learn how to apply the physical consequences of rotation to master the many tricky situations you may encounter.",https://store.steampowered.com/app/18700/And_Yet_It_Moves/,And Yet It Moves
49,"""The most rewarding game of 2013!"" Influenced by retro classics Mega Man and Castlevania, Angry Video Game Nerd Adventures features the AVGN and friends as they blast their way through 10 levels of fun, fast paced 2D action based on the AVGN's adventures in his online series.",https://store.steampowered.com/app/237740/Angry_Video_Game_Nerd_Adventures/,Angry Video Game Nerd Adventures
50,Anna - Extended Edition has been given an overhaul based on the feedback of the thousands of players of the original Anna.,https://store.steampowered.com/app/217690/Anna__Extended_Edition/,Anna - Extended Edition
51,"Build your society of the future, colonize islands, and create sprawling megacities with multitudes of buildings, vehicles, and resources to manage.",https://store.steampowered.com/app/48240/Anno_2070/,Anno 2070
52,"In Anno 2205™, you join humankind‘s next step into the future with the promise to build a better tomorrow. You conquer Earth, establishing rich, bustling cities and grand industrial complexes, but to secure the prosperity of your people, you must travel into space.",https://store.steampowered.com/app/375910/Anno_2205/,Anno 2205
53,"In this unique Zelda-lite game, explore and fight your way through surreal and creepy, nature, urban and abstract themed areas in the human Young's subconscious, evoked by a 16-bit-era visual style and a moody, dream-like soundtrack.",https://store.steampowered.com/app/234900/Anodyne/,Anodyne
